run_name,epoch,loss_d,loss_g,loss_d_recon,D_x,D_G_z_fake,D_G_z_gen,instance_noise_std
g10_fastgan_cropped,1,0.9797800026577095,2.3026461953233026,0.15054807185741334,0.6879775722821554,0.20619791187345982,0.16800123360008,0.05
g10_fastgan_cropped,2,1.2699026583597577,1.3018823854368309,0.11637293919920921,0.5511417960127195,0.35448913648724556,0.3139022185156743,0.049375
g10_fastgan_cropped,3,1.3187925897795578,1.1626574754201133,0.10766313138321557,0.5372985055049261,0.4002545215189457,0.3253438025712967,0.04875
g10_fastgan_cropped,4,1.3523398308918393,1.0900826035388584,0.10251695299842234,0.5123096133271853,0.4000791360934575,0.3476015230019887,0.048125
g10_fastgan_cropped,5,1.334878832615655,1.0762125816324661,0.0970412394802632,0.5068340599536896,0.40472112223505974,0.3541156277060509,0.0475
g10_fastgan_cropped,6,1.3331743905256535,1.1008401772585408,0.09422863772588558,0.5196271203458309,0.4028816098968188,0.3436607612917821,0.046875
g10_fastgan_cropped,7,1.3527259312827011,1.0420044072229286,0.09178342618818941,0.5030885549883047,0.41409734388192493,0.36122511327266693,0.046250000000000006
g10_fastgan_cropped,8,1.3469085313122848,1.0314493366870388,0.08878411468246887,0.510435689240694,0.41347460572918254,0.3626321293413639,0.045625
g10_fastgan_cropped,9,1.3587641823908378,0.9871802232388792,0.08547038055057156,0.5005578200022379,0.4204848272105058,0.3860943702359994,0.045000000000000005
g10_fastgan_cropped,10,1.369535999565289,0.9629702401058428,0.08388317546582427,0.49673036982615787,0.42646271114548046,0.3846663683652878,0.044375
g10_fastgan_cropped,11,1.3654422179378312,0.957185719290684,0.08201300995103245,0.49851623301704723,0.4251718645294507,0.3875865439573924,0.043750000000000004
g10_fastgan_cropped,12,1.3612272821623703,0.9778205698420261,0.08050289583103411,0.5093700736761093,0.426985797782739,0.38293707619110745,0.043125000000000004
g10_fastgan_cropped,13,1.3668655917562287,0.9545333855624857,0.0790141299366951,0.5004504372676214,0.4245983436703682,0.394062173863252,0.0425
g10_fastgan_cropped,14,1.3655441136195743,0.9454803636361813,0.07752103470908157,0.49739307537674904,0.42515157038966817,0.3928823371728261,0.041875
g10_fastgan_cropped,15,1.3736805021762848,0.9484597924968292,0.07662959428953714,0.49464693168799084,0.43614865591128665,0.3967847190797329,0.04125
g10_fastgan_cropped,16,1.3728977400681068,0.9310117895747053,0.07524582069238712,0.497737143188715,0.4317448375125726,0.40059508631626767,0.040625
g10_fastgan_cropped,17,1.3784497817014825,0.919716818579312,0.07424664262939117,0.4918176581462224,0.4333597036699454,0.40803444137175876,0.04000000000000001
