fid,kid_mean,kid_std,run_name,epoch,evaluated_model
420.8950500488281,0.48952460289001465,0.010600728914141655,g10_fastgan_cropped,1,ema
147.3729705810547,0.05006276071071625,0.008403788320720196,g10_fastgan_cropped,50,ema
147.4954376220703,0.05236125737428665,0.007144161034375429,g10_fastgan_cropped,100,ema
130.6940155029297,0.03779376298189163,0.005963823292404413,g10_fastgan_cropped,150,ema
136.94862365722656,0.03842973709106445,0.0063720932230353355,g10_fastgan_cropped,200,ema
132.91989135742188,0.03261794149875641,0.005855449941009283,g10_fastgan_cropped,250,ema
142.99940490722656,0.03862247243523598,0.00773794949054718,g10_fastgan_cropped,300,ema
141.68789672851562,0.037538014352321625,0.006856015417724848,g10_fastgan_cropped,350,ema
144.9483184814453,0.04083259403705597,0.006958596408367157,g10_fastgan_cropped,400,ema
135.1163330078125,0.03765951842069626,0.00683444133028388,g10_fastgan_cropped,450,ema
132.30641174316406,0.03450731933116913,0.007260473910719156,g10_fastgan_cropped,500,ema
