run_name,epoch,loss_d,loss_g,loss_d_recon,D_x,D_G_z_fake,D_G_z_gen,instance_noise_std
g9_fastgan,1,0.8855775938979511,2.7380417428653816,0.16263296313840767,0.7590894450743993,0.18514244724065065,0.11900778861308936,0.05
g9_fastgan,2,1.2423770831062877,1.3801355564902569,0.12978494690795397,0.5835697427392006,0.32580437883734703,0.2730416425814231,0.049375
g9_fastgan,3,1.3268520279691136,1.1868069860441932,0.12032631505280733,0.5532217547297478,0.38835984592636424,0.32337800847987336,0.04875
g9_fastgan,4,1.3649670630693436,1.1193335284960682,0.11459682233117778,0.5151630776623884,0.38323266183336574,0.3541709619263808,0.048125
g9_fastgan,5,1.365400446900006,1.1084409646432976,0.11182490774783595,0.5138765797019005,0.40060742820302647,0.3463350888341665,0.0475
g9_fastgan,6,1.3991354595998238,1.0093506559215744,0.1092867401332177,0.5014347235361735,0.4218221145371596,0.3792988322675228,0.046875
g9_fastgan,7,1.443319679334246,0.9039500003744816,0.10243083491664508,0.49170226231217384,0.44131776690483093,0.4117201653619607,0.046250000000000006
g9_fastgan,8,1.4337115375132397,0.8958325185652437,0.0990599996956258,0.4797685816884041,0.4398369813958804,0.41457001864910126,0.045625
g9_fastgan,9,1.4272676968368991,0.9072873163326033,0.0969536014479296,0.4846842090288798,0.43924221644798916,0.41095680743455887,0.045000000000000005
g9_fastgan,10,1.425738214932639,0.911417446002878,0.09395202197905245,0.48959453652302426,0.44115182881553966,0.41028783346215886,0.044375
g9_fastgan,11,1.4290114887829484,0.8769798127227816,0.09183243691022026,0.48686084399620694,0.4456299381951491,0.4221824382742246,0.043750000000000004
g9_fastgan,12,1.424669108000295,0.8956194468613329,0.09032530777541728,0.4890516313413779,0.4452301673591137,0.41652579605579376,0.043125000000000004
g9_fastgan,13,1.421363830052573,0.8827152218798111,0.08776189280866549,0.47982700044910115,0.44157858937978745,0.41834884136915207,0.0425
g9_fastgan,14,1.4181902521643146,0.9008007136912182,0.08636350679243433,0.4892250808576743,0.443427129338185,0.4055704027414322,0.041875
g9_fastgan,15,1.419845032280889,0.8841030371600184,0.08551136156993694,0.4732028047243754,0.4461653145651023,0.4171704811354478,0.04125
g9_fastgan,16,1.4153251272851024,0.8849356634349659,0.08359755684846434,0.48808595289786655,0.4442736357450485,0.4187241072456042,0.040625
g9_fastgan,17,1.410949245095253,0.8879818554068434,0.08264030500090327,0.4836621085802714,0.4389786285658677,0.41286742438872653,0.04000000000000001
g9_fastgan,18,1.405776226315005,0.8957654068182255,0.08283380791544914,0.4854263787468274,0.4406348913908005,0.4170825357238452,0.039375
