fid,kid_mean,kid_std,run_name,epoch,evaluated_model
,,,g9_fastgan,1,ema
191.5841827392578,0.07822207361459732,0.010715578682720661,g9_fastgan,100,ema
184.26478576660156,0.06577948480844498,0.00981416180729866,g9_fastgan,150,ema
180.92581176757812,0.06168020889163017,0.008061866275966167,g9_fastgan,200,ema
183.71470642089844,0.06919568032026291,0.009590594097971916,g9_fastgan,250,ema
193.04034423828125,0.07926063984632492,0.010082058608531952,g9_fastgan,300,ema
185.038330078125,0.07145058363676071,0.010784405283629894,g9_fastgan,350,ema
193.2176513671875,0.07288779318332672,0.010261152870953083,g9_fastgan,400,ema
195.19754028320312,0.07615242153406143,0.009847068227827549,g9_fastgan,450,ema
199.8037109375,0.08025107532739639,0.0111538702622056,g9_fastgan,500,ema
