run_name,epoch,loss_d,loss_g,D_x,D_G_z_fake,D_G_z_gen
g0_baseline_instrumented_with_KID,1,1.8199884295463562,4.951703884384849,0.5475399223240939,0.47956631603566086,0.047474389768798246
g0_baseline_instrumented_with_KID,2,1.4863779869946567,5.7242271900177,0.6366650624708696,0.38972066275098105,0.022139775090512227
g0_baseline_instrumented_with_KID,3,1.1087393137541683,4.056771495125511,0.6876715042374351,0.3417707471684976,0.04420241002332081
g0_baseline_instrumented_with_KID,4,1.1985099898143248,3.4579238458113237,0.6540290767496283,0.33986713737249374,0.07689300890673291
g0_baseline_instrumented_with_KID,5,1.2926453351974487,3.0248301354321567,0.6287990415638144,0.3462831283157522,0.12094540419903668
g0_baseline_instrumented_with_KID,6,0.8851431012153625,2.268738394433802,0.6872400912371549,0.3045090050859885,0.1510018062862483
g0_baseline_instrumented_with_KID,7,0.9022001217712056,2.394354397600347,0.690338359637694,0.3207022940570658,0.12996049733324486
g0_baseline_instrumented_with_KID,8,1.2585486498746006,2.759960510513999,0.6067239181561903,0.38610696453939786,0.10198748145591129
g0_baseline_instrumented_with_KID,9,1.3150721463290127,2.760816043073481,0.6148852651769464,0.4090297608212991,0.10384599762884053
g0_baseline_instrumented_with_KID,10,1.33567367087711,2.5516723069277676,0.588136223229495,0.3987897011366757,0.13421731272881682
g0_baseline_instrumented_with_KID,11,1.1952010718258945,2.3364000862294976,0.6166908822276376,0.3877505768429149,0.14671514996073462
g0_baseline_instrumented_with_KID,12,1.2134949754584918,2.5143437927419487,0.6077690585093065,0.3830380927432667,0.12597578763961792
g0_baseline_instrumented_with_KID,13,1.0958691103891893,2.4537993236021562,0.6393685191869736,0.3593168258666992,0.1308894929560748
g0_baseline_instrumented_with_KID,14,0.9613392027941617,2.285445224155079,0.670079456134276,0.3437792401422154,0.14210381426594473
g0_baseline_instrumented_with_KID,15,0.8171387775377794,2.3017795736139472,0.6948151100765575,0.2944665402173996,0.1391047022559426
g0_baseline_instrumented_with_KID,16,0.7800047343427484,2.368091518228704,0.7085551673715765,0.2870978929779746,0.12694670903411778
g0_baseline_instrumented_with_KID,17,0.7816314507614482,2.4206118800423364,0.7049950198693709,0.29344947365197266,0.11653584038669412
g0_baseline_instrumented_with_KID,18,0.598775176839395,2.471876659176566,0.7648288363760168,0.23580361089923166,0.11647011136466806
g0_baseline_instrumented_with_KID,19,0.6618354699828408,2.2669737230647695,0.7412557168440386,0.25572033497420227,0.13676145706664433
g0_baseline_instrumented_with_KID,20,0.7218133509159088,2.268298723480918,0.7225704518231478,0.2662095854228193,0.14059100469405
g0_baseline_instrumented_with_KID,21,0.7948312244632028,2.7800208167596296,0.7161647216840223,0.2860404984517531,0.10180749456313523
g0_baseline_instrumented_with_KID,22,0.8357168165120211,2.833153312856501,0.7034768055785786,0.29881641268730164,0.09464829567481171
g0_baseline_instrumented_with_KID,23,0.8562868969006971,2.735236818140203,0.6958763193000447,0.30555686219172046,0.0984334706921469
g0_baseline_instrumented_with_KID,24,0.6379077420993284,2.636337627064098,0.7531367188150232,0.24177131056785583,0.10290935059840028
g0_baseline_instrumented_with_KID,25,0.6086979847062718,2.447492621161721,0.760590290481394,0.23429894989187067,0.12207586724649776
g0_baseline_instrumented_with_KID,26,0.5728781128471548,2.461332993073897,0.7723977836695585,0.2285531691529534,0.11439753391525963
g0_baseline_instrumented_with_KID,27,0.5789143280549482,2.5833164128390225,0.774910260330547,0.2316619882529432,0.10777762329036539
g0_baseline_instrumented_with_KID,28,0.7004882476546548,2.737911806865172,0.7427643483335321,0.250064241276546,0.12005620839243586
