run_name,epoch,loss_d,loss_g,D_x,D_G_z_fake,D_G_z_gen
g2_discriminator_balancing,1,1.6622339383415554,2.435234549252883,0.4961017749231795,0.43286035242288007,0.13085491550357445
g2_discriminator_balancing,2,1.52944986846136,1.275917623354041,0.4638157328185828,0.4305541495914045,0.3030969941097757
g2_discriminator_balancing,3,1.5338351907937422,1.1828931369211362,0.45502960131220194,0.4449666848649149,0.32289599189939705
g2_discriminator_balancing,4,1.368534989978956,1.1874480947204258,0.488533448913823,0.41298117229472037,0.3114450235405694
g2_discriminator_balancing,5,1.3543008980543718,1.2474405895108762,0.4911130320118821,0.40845520535241003,0.2929023256444413
g2_discriminator_balancing,6,1.3574008630669636,1.136842818363853,0.48812009880076285,0.41517477288194327,0.32329999623091327
g2_discriminator_balancing,7,1.3503902839577717,1.1081198881501737,0.48318160940771515,0.41478283120238263,0.3314937113419823
g2_discriminator_balancing,8,1.3315925105758335,1.1100329646597737,0.48815358592116315,0.4123802084637725,0.3290801113066466
g2_discriminator_balancing,9,1.3399837781553683,1.1826544177273046,0.4868898135812386,0.4093592202533846,0.30698205725006433
g2_discriminator_balancing,10,1.3699332073978756,1.1161943175222562,0.4798844323857971,0.4228887561222781,0.3283660366483357
g2_discriminator_balancing,11,1.3606061715146769,1.097391331973283,0.479294667425363,0.41910281842169556,0.33340298190065054
g2_discriminator_balancing,12,1.3467453212841698,1.0814593460248865,0.4814696587298227,0.4166300892829895,0.3382868996780852
g2_discriminator_balancing,13,1.3381387811640035,1.0614768098229947,0.482675873067068,0.4179090889899627,0.34403107380089554
g2_discriminator_balancing,14,1.350638580063115,1.0951294950816943,0.48228323686382046,0.41819625866153964,0.3340263347262922
g2_discriminator_balancing,15,1.3250925527966542,1.0869697215764418,0.4865071566208549,0.41232895397621655,0.3355425835951515
g2_discriminator_balancing,16,1.3172396045664083,1.0894235748311747,0.4889953402073487,0.4119598648470381,0.3337120841378751
g2_discriminator_balancing,17,1.3043480722800544,1.1215870995884356,0.4931574039485144,0.4071439232515252,0.3225281130036582
g2_discriminator_balancing,18,1.2970621650633605,1.0862105054699855,0.49124055874088535,0.40670173712398694,0.3323782886499944
g2_discriminator_balancing,19,1.3036373270594555,1.1062434173148612,0.4911946683474209,0.4085881279214569,0.32665503381387045
g2_discriminator_balancing,20,1.3001106200010881,1.1176670608313188,0.49306292637534765,0.4066765376407167,0.32337060959442804
g2_discriminator_balancing,21,1.275200394184693,1.1235739018606103,0.49831619534803473,0.3993694306067798,0.32098600009213324
g2_discriminator_balancing,22,1.2549698210280875,1.1764108959747397,0.5081607080672098,0.3928682272848876,0.3040756071391313
g2_discriminator_balancing,23,1.2348356881867284,1.1593411927637847,0.511067900320758,0.38876271766165027,0.30884529585423676
