name,model,pretrained,augmentation,generators,epochs_max,epochs_used,early_stopped,patience,monitor,batch_size,lr,weight_decay,dropout,label_smoothing,optimizer,freeze_stem_epochs,eval_split,subsample_frac,class_weights,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,ece,per_generator_recall
v0_baseline_scratch,resnet18,False,False,wiki+inpainting,100,18,True,5,balanced_accuracy,128,0.001,0.0001,0.0,0.0,adamw,0,val,,,0.7459803716851117,0.7459803716851117,0.8029835390946503,0.6519106285237002,0.7196035496139218,0.816084931531816,0.0798787022463388,"{""64"": 0.6622516556291391, ""65"": 0.65, ""66"": 0.6656050955414012, ""67"": 0.6401384083044983, ""68"": 0.6133333333333333, ""69"": 0.6697819314641744, ""70"": 0.7, ""71"": 0.6571428571428571, ""72"": 0.6367041198501873, ""73"": 0.6182965299684543, ""74"": 0.6349693251533742, ""75"": 0.6678966789667896, ""76"": 0.6746987951807228, ""77"": 0.6333333333333333, ""78"": 0.6538461538461539, ""79"": 0.6537216828478964}"
v1_pretrained,resnet18,True,False,wiki+inpainting,100,35,True,5,balanced_accuracy,128,0.001,0.0001,0.0,0.0,adamw,3,val,,,0.9925871789517645,0.9925871789517644,0.9933082392304475,0.9918563374399666,0.9925817573921221,0.9995865403075129,0.004419681908417674,"{""64"": 0.9900662251655629, ""65"": 0.9866666666666667, ""66"": 0.9936305732484076, ""67"": 0.986159169550173, ""68"": 0.9866666666666667, ""69"": 0.9937694704049844, ""70"": 0.9851851851851852, ""71"": 1.0, ""72"": 0.9887640449438202, ""73"": 0.9936908517350158, ""74"": 0.99079754601227, ""75"": 0.992619926199262, ""76"": 0.9939759036144579, ""77"": 1.0, ""78"": 0.993006993006993, ""79"": 0.9935275080906149}"
v2_augmentation,resnet18,True,True,wiki+inpainting,100,6,True,5,balanced_accuracy,128,0.001,0.0001,0.0,0.0,adamw,3,val,,,0.8419294215911464,0.8419294215911464,0.9241129241129241,0.7450407183128002,0.824971098265896,0.9419895885333731,0.02491056097651552,"{""64"": 0.7450331125827815, ""65"": 0.7533333333333333, ""66"": 0.7547770700636943, ""67"": 0.7058823529411765, ""68"": 0.6833333333333333, ""69"": 0.7258566978193146, ""70"": 0.7592592592592593, ""71"": 0.7746031746031746, ""72"": 0.7490636704119851, ""73"": 0.7665615141955836, ""74"": 0.7484662576687117, ""75"": 0.7712177121771218, ""76"": 0.6987951807228916, ""77"": 0.8074074074074075, ""78"": 0.7482517482517482, ""79"": 0.7411003236245954}"
v3_all_generators,resnet18,True,True,wiki+inpainting+sd15+insightface,100,8,True,5,balanced_accuracy,128,0.001,0.0001,0.0,0.0,adamw,3,val,,,0.8239716015869701,0.8182640773995963,0.9279875437913585,0.829679125774344,0.8760840805526974,0.9131136130261162,0.0650790546390452,"{""64"": 0.8278145695364238, ""65"": 0.8277777777777777, ""66"": 0.8312101910828026, ""67"": 0.8327566320645905, ""68"": 0.8422222222222222, ""69"": 0.8203530633437176, ""70"": 0.8197530864197531, ""71"": 0.8296296296296296, ""72"": 0.8289637952559301, ""73"": 0.8286014721345951, ""74"": 0.8210633946830266, ""75"": 0.8179581795817958, ""76"": 0.8313253012048193, ""77"": 0.8395061728395061, ""78"": 0.831002331002331, ""79"": 0.8446601941747572}"
v4_resnet34,resnet34,True,True,wiki+inpainting+sd15+insightface,100,8,True,5,balanced_accuracy,128,0.001,0.0001,0.0,0.0,adamw,3,val,,,0.8534140739193986,0.8258509083315932,0.9201744820065431,0.880977239507204,0.9001493492639215,0.9219634744787853,0.030545777142807075,"{""64"": 0.8951434878587197, ""65"": 0.8744444444444445, ""66"": 0.8673036093418259, ""67"": 0.8696655132641292, ""68"": 0.89, ""69"": 0.8722741433021807, ""70"": 0.8740740740740741, ""71"": 0.8857142857142857, ""72"": 0.8876404494382022, ""73"": 0.8717139852786541, ""74"": 0.885480572597137, ""75"": 0.8806888068880688, ""76"": 0.892570281124498, ""77"": 0.8839506172839506, ""78"": 0.8787878787878788, ""79"": 0.8856526429341963}"
v5_heavy_dropout,resnet18,True,True,wiki+inpainting+sd15+insightface,100,8,True,5,balanced_accuracy,128,0.001,0.0001,0.5,0.0,adamw,3,val,,,0.8084151179787011,0.8201433841442194,0.9385813858138582,0.796686851813183,0.8618326933212861,0.9111985450520927,0.08117950562209572,"{""64"": 0.7947019867549668, ""65"": 0.7922222222222223, ""66"": 0.7866242038216561, ""67"": 0.8027681660899654, ""68"": 0.8066666666666666, ""69"": 0.7829698857736241, ""70"": 0.7913580246913581, ""71"": 0.7883597883597884, ""72"": 0.7852684144818977, ""73"": 0.7981072555205048, ""74"": 0.7924335378323109, ""75"": 0.7933579335793358, ""76"": 0.7991967871485943, ""77"": 0.8185185185185185, ""78"": 0.8041958041958042, ""79"": 0.8122977346278317}"
v3w_uniform,resnet18,True,True,wiki+inpainting+sd15+insightface,100,8,True,5,balanced_accuracy,128,0.001,0.0001,0.0,0.0,adamw,3,val,,,0.8239716015869701,0.8182640773995963,0.9279875437913585,0.829679125774344,0.8760840805526974,0.9131136130261162,0.0650790546390452,"{""64"": 0.8278145695364238, ""65"": 0.8277777777777777, ""66"": 0.8312101910828026, ""67"": 0.8327566320645905, ""68"": 0.8422222222222222, ""69"": 0.8203530633437176, ""70"": 0.8197530864197531, ""71"": 0.8296296296296296, ""72"": 0.8289637952559301, ""73"": 0.8286014721345951, ""74"": 0.8210633946830266, ""75"": 0.8179581795817958, ""76"": 0.8313253012048193, ""77"": 0.8395061728395061, ""78"": 0.831002331002331, ""79"": 0.8446601941747572}"
v3w_inverse,resnet18,True,True,wiki+inpainting+sd15+insightface,100,8,True,5,balanced_accuracy,128,0.001,0.0001,0.0,0.0,adamw,3,val,,"[3.0, 1.0]",0.7495301733138442,0.8123477413517088,0.9707763455672538,0.6867126052759797,0.8044027721157766,0.9076510180148665,0.1446677461860822,"{""64"": 0.6887417218543046, ""65"": 0.6966666666666667, ""66"": 0.6656050955414012, ""67"": 0.6955017301038062, ""68"": 0.6955555555555556, ""69"": 0.6728971962616822, ""70"": 0.6753086419753086, ""71"": 0.7015873015873015, ""72"": 0.6791510611735331, ""73"": 0.6614090431125131, ""74"": 0.6840490797546013, ""75"": 0.6826568265682657, ""76"": 0.6947791164658634, ""77"": 0.7098765432098766, ""78"": 0.6864801864801865, ""79"": 0.6990291262135923}"
v3w_sqrt,resnet18,True,True,wiki+inpainting+sd15+insightface,100,8,True,5,balanced_accuracy,128,0.001,0.0001,0.0,0.0,adamw,3,val,,"[1.7320508075688772, 1.0]",0.8000104405930257,0.8273473933319413,0.9515686610663466,0.7726734878541102,0.8528406253601198,0.913479393501758,0.08368333569584122,"{""64"": 0.7737306843267108, ""65"": 0.7644444444444445, ""66"": 0.7632696390658175, ""67"": 0.7808535178777394, ""68"": 0.78, ""69"": 0.7601246105919003, ""70"": 0.7728395061728395, ""71"": 0.7788359788359789, ""72"": 0.766541822721598, ""73"": 0.7739221871713985, ""74"": 0.7719836400817995, ""75"": 0.7699876998769988, ""76"": 0.7620481927710844, ""77"": 0.7814814814814814, ""78"": 0.7762237762237763, ""79"": 0.7885652642934197}"
v3w_smooth03,resnet18,True,True,wiki+inpainting+sd15+insightface,100,12,True,5,balanced_accuracy,128,0.001,0.0001,0.0,0.1,adamw,3,val,,"[3.0, 1.0]",0.7426915848820212,0.7987401684415675,0.9585114652157015,0.6866430013224751,0.8001135488057098,0.8909195371175762,0.06329593670395575,"{""64"": 0.6876379690949227, ""65"": 0.7055555555555556, ""66"": 0.6624203821656051, ""67"": 0.6966551326412919, ""68"": 0.6855555555555556, ""69"": 0.6749740394600208, ""70"": 0.7049382716049383, ""71"": 0.671957671957672, ""72"": 0.6791510611735331, ""73"": 0.6708727655099895, ""74"": 0.6942740286298569, ""75"": 0.6765067650676507, ""76"": 0.6897590361445783, ""77"": 0.6975308641975309, ""78"": 0.696969696969697, ""79"": 0.6957928802588996}"
