held_out,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,ece
inpainting,0.6913971323774591,0.5616038679559854,0.6372609500308452,0.17222407469156387,0.27116419477621734,0.677505824437867,0.21136195301294086
sd15,0.8028231632766478,0.7616705568522841,0.7353054168267383,0.6382127375791931,0.6833273830774723,0.8589677858608199,0.08264006434632261
insightface,0.6537179059686562,0.5117539179726576,0.4077593032462391,0.08586195398466155,0.14185373915438645,0.6319431696749866,0.2936955630593767
