fid,kid_mean,kid_std,run_name,epoch,evaluated_model
178.0757598876953,0.06179025396704674,0.008043155074119568,g5_full_data_ema_bestfid,50,ema
163.31497192382812,0.05121597275137901,0.007954097352921963,g5_full_data_ema_bestfid,100,ema
183.63888549804688,0.06058976426720619,0.007680816110223532,g5_full_data_ema_bestfid,150,ema
170.4889678955078,0.048320092260837555,0.006564275361597538,g5_full_data_ema_bestfid,200,ema
