run_name,epoch,loss_d,loss_g,D_x,D_G_z_fake,D_G_z_gen
g5_full_data_ema_bestfid,1,1.2281714518522393,2.6527632454345964,0.6215943742286543,0.3793982746208022,0.14412442968775926
g5_full_data_ema_bestfid,2,1.0554505050953091,2.1785945411899994,0.6448965337898197,0.35472915042191744,0.16387209625802293
g5_full_data_ema_bestfid,3,0.8943134104383403,2.3007007559103054,0.6949837158980041,0.30248862614148647,0.15999531525524396
g5_full_data_ema_bestfid,4,0.799385599021254,2.3057923123625845,0.7195050036855812,0.27911994267447754,0.1635311527823997
g5_full_data_ema_bestfid,5,0.7783174634879005,2.334824430981073,0.7275799772027751,0.27011854759545934,0.16350952919034673
g5_full_data_ema_bestfid,6,0.7285426799207926,2.3902339370086274,0.7450493023377555,0.2540879917716415,0.1588272654008851
g5_full_data_ema_bestfid,7,0.6974046446126083,2.5286561619683074,0.7567950681108853,0.24176533935202188,0.14957608955567062
g5_full_data_ema_bestfid,8,0.6655651677142957,2.535536619834602,0.7641736496047213,0.2347385623845561,0.148272962431606
g5_full_data_ema_bestfid,9,0.6665013951474222,2.5130667182584774,0.7678198385501986,0.2315352986524572,0.14699547095281967
g5_full_data_ema_bestfid,10,0.6416800605325863,2.532255246271861,0.7705916575445183,0.22825771863251154,0.14631906009664566
g5_full_data_ema_bestfid,11,0.6592795449983457,2.6214804851755114,0.7723988721925958,0.22708174192215164,0.1445242304174638
g5_full_data_ema_bestfid,12,0.5763883420812159,2.6620909913346686,0.7899365953394565,0.2088308478705585,0.1347811320951662
g5_full_data_ema_bestfid,13,0.5727048290829206,2.7392162397375395,0.7970831230732387,0.20257949025735483,0.12974852839974557
g5_full_data_ema_bestfid,14,0.5294839689700768,2.838998486127319,0.8083628848965826,0.19087997248701366,0.12350504717650093
g5_full_data_ema_bestfid,15,0.5549486751892957,2.888113089676561,0.8079470853353369,0.19182188032347516,0.12538331571403402
g5_full_data_ema_bestfid,16,0.4983099603961254,2.9966809501036487,0.8240487427081399,0.175431593060082,0.11223071689939138
g5_full_data_ema_bestfid,17,0.48391259500178796,3.0602428174682026,0.8402185196594881,0.15924330402864645,0.10410897808811444
g5_full_data_ema_bestfid,18,0.4552783913396556,3.1654733774123778,0.8433341517691212,0.15622420772279869,0.09959185437144007
g5_full_data_ema_bestfid,19,0.44645563156568796,3.283023743376393,0.8481992068700492,0.1516738515596883,0.09842158521129524
g5_full_data_ema_bestfid,20,0.41837638937707605,3.3634794601881555,0.8567032334153893,0.14249303624651946,0.09188445143215553
g5_full_data_ema_bestfid,21,0.3748293599306509,3.316161175217813,0.8717283530578274,0.12813827753140278,0.08255175519693224
g5_full_data_ema_bestfid,22,0.4530579025760807,3.5051469125018198,0.8673871226110977,0.13204712411334577,0.08978577872779106
g5_full_data_ema_bestfid,23,0.3593128567946882,3.435957431343609,0.8784367740957131,0.12170840470866222,0.07820866535046755
g5_full_data_ema_bestfid,24,0.4330722155723849,3.527191843271982,0.8753107324978217,0.12398067665932605,0.0850227373842172
g5_full_data_ema_bestfid,25,0.3051075767886279,3.5943988442164043,0.8917188309133053,0.1085681336462585,0.06999968883356532
g5_full_data_ema_bestfid,26,0.3146544410044263,3.7416302851553813,0.9007982422641864,0.09861697258158278,0.06363459877649669
g5_full_data_ema_bestfid,27,0.3144287817131985,3.8148217728955607,0.8998936246679132,0.0995694725706926,0.0648413898996037
g5_full_data_ema_bestfid,28,0.29762039311101723,3.8093747212952964,0.9019916934354616,0.09751095231350236,0.06448413684750542
g5_full_data_ema_bestfid,29,0.3019524736827689,3.812829994759121,0.9101302398327695,0.09024876546661224,0.05893492597567788
g5_full_data_ema_bestfid,30,0.4385204205996004,3.8704202317554706,0.8902923419814686,0.11009789431356913,0.0740519217409197
g5_full_data_ema_bestfid,31,0.28137071730954377,3.883250816452221,0.9121760461672113,0.08763413111024294,0.05669879823376838
g5_full_data_ema_bestfid,32,0.282041934937046,4.063056853232536,0.9155752182369128,0.08414294055799881,0.0548486029954935
g5_full_data_ema_bestfid,33,0.29816857861065915,4.020198109599858,0.9110838826567613,0.0888015127520977,0.056129333819325604
g5_full_data_ema_bestfid,34,0.2425834830481045,4.084749882086381,0.925092457406271,0.0746781563938353,0.04903043877744761
g5_full_data_ema_bestfid,35,0.4039782823288235,4.1665804328101865,0.8966713500377754,0.10363593951064856,0.07077809514556689
g5_full_data_ema_bestfid,36,0.16428392688775884,4.079424507980203,0.9343829243443906,0.06530099105444166,0.04108496580992606
g5_full_data_ema_bestfid,37,0.2737982300720338,4.210459151559792,0.9224082678596586,0.07732876586958119,0.051619062495915545
g5_full_data_ema_bestfid,38,0.3752934311131208,4.164275086351,0.9059697723393489,0.09369835238618995,0.063021573668187
g5_full_data_ema_bestfid,39,0.2999967706614527,4.09579571302386,0.9170498749209118,0.08330446898152927,0.054268180474521394
g5_full_data_ema_bestfid,40,0.2177626940919536,4.126198786904971,0.9295045905385231,0.07006861649479733,0.04635038380946565
g5_full_data_ema_bestfid,41,0.35753558312767536,4.160297172101027,0.90632055836952,0.09396684492337656,0.06293903136037135
g5_full_data_ema_bestfid,42,0.26812822863074215,4.305871287103871,0.9171529083004912,0.08274382444803983,0.055468957375343714
g5_full_data_ema_bestfid,43,0.20021493680743052,4.4729829570010065,0.9386762320144295,0.06145918324837739,0.04050621679390223
g5_full_data_ema_bestfid,44,0.282366993668457,4.496229963611401,0.9278885653374942,0.07181848210122302,0.04715710039080485
g5_full_data_ema_bestfid,45,0.26206743416119493,4.304271139670163,0.9183151869199656,0.0815220576777988,0.05258342710052257
g5_full_data_ema_bestfid,46,0.07763191268795394,4.638047441840172,0.964365891213047,0.035413788539229024,0.02190057136992656
g5_full_data_ema_bestfid,47,0.43791075936791585,4.353936511182696,0.897374180319432,0.10317666848023115,0.07143719358126531
g5_full_data_ema_bestfid,48,0.29142514441226575,4.284454708240509,0.9110936260448994,0.08828787614434391,0.059680471255581555
g5_full_data_ema_bestfid,49,0.168377372355939,4.55593331040943,0.9427631470326591,0.057520228451302315,0.036607008975703424
g5_full_data_ema_bestfid,50,0.17492129211314023,4.640737997002675,0.9432021448356581,0.05644569024066029,0.03628870745446757
g5_full_data_ema_bestfid,51,0.2751880161271527,4.648241071011022,0.9300593236934972,0.07013825902016743,0.04806049712812722
g5_full_data_ema_bestfid,52,0.2417528008006449,4.701251910781766,0.9287400098260621,0.07122837849971708,0.04891942090310996
g5_full_data_ema_bestfid,53,0.3656870321780122,4.603445691036658,0.9252169041503984,0.0751901318852141,0.056077039115934
g5_full_data_ema_bestfid,54,0.11250150531273463,4.496252397524899,0.9515386973989421,0.04844241982109138,0.028431106776757777
g5_full_data_ema_bestfid,55,0.3711618048917695,4.326462584911998,0.9015815480741931,0.09850404503456424,0.06583476377265321
g5_full_data_ema_bestfid,56,0.2046991549311848,4.666379031291681,0.9368123287141347,0.06320344152340865,0.04083164672826579
g5_full_data_ema_bestfid,57,0.24879239337390352,4.707315649164762,0.9328723541212043,0.06686268213016335,0.04523109805351727
g5_full_data_ema_bestfid,58,0.06986605503259162,5.014305928143962,0.9689414945655855,0.030901584423128074,0.01876448801349711
g5_full_data_ema_bestfid,59,0.3179488945551666,4.527579676572651,0.9187647659809954,0.08116065360258969,0.05464240399086595
g5_full_data_ema_bestfid,60,0.1792509678935889,5.1284240097648555,0.9545450954826484,0.04527790565721104,0.03272304386452702
g5_full_data_ema_bestfid,61,0.22793494163739397,4.6669339139721,0.9239624217794887,0.0763869086194659,0.047392904582191725
g5_full_data_ema_bestfid,62,0.13877121212386428,5.292658520064489,0.9631384992972016,0.036503575752405974,0.02665900223739519
g5_full_data_ema_bestfid,63,0.3837873369399137,4.478356570933352,0.9039039689212524,0.09626736933386508,0.06480077478488609
g5_full_data_ema_bestfid,64,0.05643675844827346,5.1030828803777695,0.9738138664899201,0.02599574076006759,0.015059256971340048
g5_full_data_ema_bestfid,65,0.2854042040978976,4.771768387015605,0.9182258325644994,0.08215047820221869,0.052999648171086926
g5_full_data_ema_bestfid,66,0.040863024705121744,5.403443793284482,0.9805702215124821,0.01916776476317519,0.011431327772603755
g5_full_data_ema_bestfid,67,0.2438178792804608,5.58714818416624,0.9525257427770841,0.04712705563524605,0.03755129349731799
g5_full_data_ema_bestfid,68,0.3940701967362186,4.115225014437375,0.8723672814667225,0.12786274091195082,0.08497499535315
g5_full_data_ema_bestfid,69,0.18530030033133668,4.967797751183031,0.9520024346300112,0.047969865977826244,0.03129418288310344
g5_full_data_ema_bestfid,70,0.2434927405596807,5.037199691906451,0.9336875861928123,0.06572438101044288,0.04331914485539238
g5_full_data_ema_bestfid,71,0.055049251835263366,5.325404660968945,0.9750994429763021,0.025117415976449686,0.014222518082031708
g5_full_data_ema_bestfid,72,0.28713720549773103,4.899503063105432,0.918669688449066,0.08153630872942408,0.05554744034503815
g5_full_data_ema_bestfid,73,0.03855375763317891,5.600577102139078,0.9819087932079003,0.01806003294116416,0.010513440820369428
g5_full_data_ema_bestfid,74,0.3231533121062716,5.306482280632865,0.9277521787885705,0.07257761796851245,0.049801941600798004
g5_full_data_ema_bestfid,75,0.05160455113268811,5.38276755655634,0.9763257806671077,0.023547342056378418,0.013595712717311659
g5_full_data_ema_bestfid,76,0.3813731446741791,4.993270047575793,0.9079346542009795,0.09271593904354004,0.06335507362932911
g5_full_data_ema_bestfid,77,0.05932062423932526,5.342739916053311,0.9733087002974132,0.026325227847525546,0.01578917805862398
g5_full_data_ema_bestfid,78,0.027754870880644062,5.9082183431962445,0.9866776563997927,0.013201085367748827,0.00801080014282669
g5_full_data_ema_bestfid,79,0.4002741879807657,4.9734663463286335,0.9021696740488425,0.0981585783843198,0.06687643292927556
g5_full_data_ema_bestfid,80,0.09770675688371833,5.298282382239042,0.9633902856951644,0.036376424611105525,0.021503698378806207
g5_full_data_ema_bestfid,81,0.2801299338522046,4.96020415692253,0.9200221619995428,0.08003911991426828,0.05362899896103963
