epoch,loss_d,loss_g,D_x,D_G_z_fake,D_G_z_gen
1,1.3403427492488513,6.183655066923662,0.6655388555743478,0.35464268787340686,0.009893063540485773
2,1.4448354488069362,4.169230645353144,0.653104386546395,0.3701582432470538,0.05092027715661309
3,1.1917295266281476,3.07941011949019,0.6462804837660356,0.32954491539434955,0.09759616174481132
4,1.138755207712,2.6904793977737427,0.6457224867560647,0.34066965701905166,0.13218871842731128
5,1.0500454794276843,2.2276100353761152,0.6428168984976682,0.34825502268292685,0.1557642180811275
6,1.1224216493693264,2.6482888676903467,0.647173282775012,0.36876956170255487,0.11260636862028729
7,1.1748045791279187,2.582254507324912,0.6246203590523113,0.37145234644412994,0.12091261893510818
8,1.3041017001325435,2.3277320861816406,0.6015756252137098,0.4093511172316291,0.15050246701999145
9,1.2694390009750018,2.522848205132918,0.5991164947097952,0.39945039694959467,0.1289613734592091
10,1.2095993838526986,2.472341147336093,0.608872420408509,0.3795312304388393,0.13066494464874268
11,1.0934768617153168,2.6468293450095435,0.6347178247841921,0.3593095744198019,0.10820164802399548
12,0.8996743343093179,2.281265367161144,0.6753235378048636,0.3203006400303407,0.14155901595950127
13,0.8655498461289839,2.2885991118170996,0.6918809413909912,0.31299768456003885,0.13841642100702634
14,0.908708090131933,2.481869101524353,0.6765696162527258,0.31768608025529166,0.1201308471235362
15,0.7555302489887584,2.254659045826305,0.7160933180288835,0.2799380469051274,0.13961511477828026
16,0.8014116747812792,2.319099626757882,0.707886668768796,0.2985225109891458,0.1338233541358601
17,0.7551091096617959,2.3672305128791113,0.7184009145606648,0.2860193062912334,0.12877425974742931
18,0.723021225495772,2.314261636950753,0.7230949916622855,0.2759420478885824,0.13051581315018915
19,0.6514131697741422,2.498062079603022,0.7479957396333868,0.25104865634983237,0.1137129623781551
20,0.6787570904601704,2.472580687566237,0.7363038415258581,0.25499062917449256,0.11816030571406538
21,0.7777353227138519,2.5257480036128652,0.7159205431287939,0.2896802770820531,0.11770409142429178
22,0.833728167143735,2.506039635701613,0.7045542408119548,0.2969853055070747,0.12670367736030708
23,0.8616892505775798,2.4992210323160347,0.6885019459507682,0.29790707948532974,0.12325991486961191
24,0.7704083621501923,2.6545694958079946,0.7230867689306085,0.2826522879979827,0.10499748807739127
25,0.776343210176988,2.5895109718496148,0.7173180390488018,0.28381653875112534,0.11171905120665376
26,0.6412069336934523,2.6554042642766778,0.753757652911273,0.2434943304820494,0.10378999330780724
27,0.6482987268404528,2.4365180839191782,0.7555625113573942,0.25406062602996826,0.12078528309410269
28,0.6346572908488187,2.3234410231763665,0.7502969638867811,0.2411154992878437,0.1347283964807337
29,0.5659461847760461,2.4701789725910532,0.7779770385135304,0.22871814735911108,0.11179399862885475
30,0.5427929447455839,2.4708798907019873,0.7766246714375236,0.2139666717160832,0.11489728838205338
31,0.6191132637587461,2.6028980937871067,0.7608104537833821,0.24062617055394434,0.11022487672215159
32,0.6676595888354562,2.7503942359577525,0.7520261623642661,0.2506274939938025,0.09938019683415239
33,0.5457295707680963,2.637797545302998,0.7798878875645724,0.21595147590745578,0.10076611861586571
34,0.5049768293445761,2.5164393457499417,0.7965894937515259,0.2066272067075426,0.11086741648614407
35,0.48731585388833826,2.6326828219673852,0.8027340553023599,0.19958918406204743,0.1047315766865557
36,0.5949644283814863,2.78823765299537,0.7730347568338568,0.2246700410138477,0.10223388392478228
37,0.5301434194499796,2.9065218296918003,0.788322616707195,0.2085088457573544,0.08475538190792907
38,0.49012887613339856,2.80563605373556,0.80238753286275,0.19679474085569382,0.0884665274484591
39,0.5010032464157451,2.741943131793629,0.795583491975611,0.19482667778025975,0.10218559171665799
40,0.48129877177151764,2.8876494711095635,0.8111830814318224,0.1978248984298923,0.08240278793329542
41,0.4193648519841107,2.7481155666438015,0.8257761895656586,0.17471893673593347,0.09212007221173156
42,0.3746322447603399,2.7996445894241333,0.8391235931353136,0.15679211237213828,0.08536344952881336
43,0.3638030710545453,2.803602164441889,0.8423134820027784,0.15453334999355403,0.0810928214341402
44,0.37333111329512164,2.881488713351163,0.8412825465202332,0.1570639478212053,0.08297089876776392
45,0.6917110559615222,3.2714737870476465,0.7901836322112517,0.22274080376056107,0.137938392221589
46,0.49956957589496265,3.2415867935527456,0.8001256124539808,0.1882002130150795,0.0649081366983327
47,0.35742995278401807,2.9641166383569892,0.8463841053572568,0.1504162536426024,0.07231733439998193
48,0.32694101333618164,2.9264130917462436,0.8606907752427188,0.14225214956836266,0.07502712021497163
49,0.2852391695434397,2.8789122971621426,0.8733894797888669,0.12662478908896446,0.07442693547769026
50,0.2893953160806136,2.8722593892704356,0.8702229423956438,0.12621589783917775,0.07559486884962428
