run_name,epoch,loss_d,loss_g,D_x,D_G_z_fake,D_G_z_gen,instance_noise_std
g6_facecrop_regularized,1,1.3009759412500366,2.647524857829357,0.5890355383142315,0.3398087085545834,0.15637126282371325,0.05
g6_facecrop_regularized,2,1.1324386026324897,2.1296368670360795,0.5986867093577467,0.3256552914350197,0.1765116197538787,0.049375
g6_facecrop_regularized,3,1.214559031714653,1.6076194448717709,0.5614575424456391,0.3628871154746619,0.2541277281586723,0.04875
g6_facecrop_regularized,4,1.1315921083863438,1.6329739047535534,0.5804127928126475,0.34370173057862397,0.24470994496268444,0.048125
g6_facecrop_regularized,5,1.1218291381052856,1.584564434814042,0.5824321199465414,0.34093945267899284,0.25515912953314596,0.0475
g6_facecrop_regularized,6,1.135372737229898,1.5088131863238483,0.5759964597507797,0.3486870950216363,0.26925176873417767,0.046875
g6_facecrop_regularized,7,1.0949590330750778,1.4964069500565529,0.5860751114528755,0.33848362621562234,0.2700602171685675,0.046250000000000006
g6_facecrop_regularized,8,1.0686770060966755,1.5483537907230442,0.5958102084054001,0.3286978989229377,0.2628635443939731,0.045625
g6_facecrop_regularized,9,1.0295059278864285,1.655146294498238,0.6095565190731451,0.3144748484683705,0.24352337753175404,0.045000000000000005
g6_facecrop_regularized,10,1.0058335374141563,1.708059692948029,0.6194243414391731,0.3053170822737417,0.23716625721386536,0.044375
g6_facecrop_regularized,11,0.9739769332367798,1.6648782747315949,0.6302217309973364,0.2944343403495591,0.24461744506522243,0.043750000000000004
g6_facecrop_regularized,12,0.9580001434118584,1.7568238033302899,0.6366657119501253,0.2873845087557003,0.2287208051019316,0.043125000000000004
g6_facecrop_regularized,13,0.9482130486646603,1.797169324139069,0.6427393570413877,0.28238758576455814,0.22585964112157195,0.0425
g6_facecrop_regularized,14,0.9361958908366745,1.8385830611504357,0.6453759092837572,0.2784358189955097,0.2186346045807646,0.041875
g6_facecrop_regularized,15,0.9268048674125096,1.7894536743647065,0.6490200360723096,0.27509170668681376,0.2275927997322689,0.04125
g6_facecrop_regularized,16,0.9190790925560326,1.8296857737004757,0.6526127731234863,0.2724954845255305,0.21962604715071363,0.040625
g6_facecrop_regularized,17,0.8882907113895334,1.8865202128373344,0.6636048002040078,0.2610980828116038,0.21323485245350107,0.04000000000000001
g6_facecrop_regularized,18,0.883985992713735,1.8995544823721564,0.6658683128911873,0.2579803842537362,0.20992867822823083,0.039375
g6_facecrop_regularized,19,0.8757553090951566,1.874548737473529,0.6708244144081555,0.2537287388173542,0.21779442177724156,0.03875000000000001
g6_facecrop_regularized,20,0.8772692458126051,1.9452345899209893,0.6712658837244943,0.25313452987305435,0.2077343031796145,0.038125
g6_facecrop_regularized,21,0.8575028215117496,1.96948976429372,0.677564774158186,0.24717610030724058,0.20225898117421132,0.037500000000000006
g6_facecrop_regularized,22,0.8404663571895197,1.9736801998625542,0.6851834436750104,0.23956766397017856,0.2040415970319561,0.036875000000000005
g6_facecrop_regularized,23,0.8615150560849699,2.006839281397647,0.6777794817783709,0.24681244960761275,0.20043132347375925,0.03625
g6_facecrop_regularized,24,0.8313625616117798,2.0332322673037133,0.6881432760314181,0.2364395137250038,0.19569386786114873,0.035625000000000004
g6_facecrop_regularized,25,0.8253878803345663,2.0437116259387853,0.6904895252323356,0.2348104951790823,0.19288325779429027,0.034999999999999996
g6_facecrop_regularized,26,0.8113002378878922,2.0445415744365287,0.6952845499818695,0.2289441683658816,0.19460088774112277,0.034375
g6_facecrop_regularized,27,0.7994468515289241,2.091311332095286,0.6994312517344952,0.22476885002106428,0.190156222232778,0.03375
g6_facecrop_regularized,28,0.7994051479959282,2.125986716485229,0.7021506756929488,0.22252968909090448,0.18525828446807532,0.033125
g6_facecrop_regularized,29,0.7902092935581659,2.1258481091594903,0.7036890891733868,0.2217150322996594,0.1810873468584132,0.0325
g6_facecrop_regularized,30,0.8024002108080633,2.1493451579891403,0.7029861919903035,0.22137392850207357,0.18463527203280608,0.031875
g6_facecrop_regularized,31,0.7588101429543619,2.1771361704530388,0.7170781840024323,0.20755341812036932,0.1796723350256296,0.03125
g6_facecrop_regularized,32,0.7586138207979244,2.213633012797298,0.717453967844104,0.20673205647296433,0.17704054314627088,0.030625000000000003
g6_facecrop_regularized,33,0.7686328770400122,2.262871076449238,0.7146721478744313,0.20958845064461487,0.17154275822645887,0.03
g6_facecrop_regularized,34,0.7340605808100824,2.288474830574003,0.724731472674115,0.2005934270644753,0.1628487276852709,0.029375000000000002
g6_facecrop_regularized,35,0.7387365407214083,2.324121518510169,0.7274538233298166,0.19707128587419745,0.16650920384563506,0.028749999999999998
g6_facecrop_regularized,36,0.7005234815437218,2.2961902664653184,0.738163762179942,0.18692875086883853,0.16459302358923417,0.028125
g6_facecrop_regularized,37,0.7089759894357673,2.370649902085806,0.7369566360360076,0.1879582161180161,0.16077366485942862,0.027500000000000004
g6_facecrop_regularized,38,0.7182354720245148,2.3828331067644317,0.7366029816711771,0.18816814160552517,0.16297243628650904,0.026875
