epoch,loss_d,loss_g,D_x,D_G_z_fake,D_G_z_gen
1,1.7826739874753086,4.875112826173956,0.557336455041712,0.489987123418938,0.044941273126327855
2,1.3302359906109897,6.174788431687788,0.6690242832357233,0.35201901400631125,0.010147975482554599
3,1.4900683977387168,3.9902268539775503,0.640216895125129,0.38094244829633017,0.05841827426444401
4,1.1680775176395068,3.2392302534796973,0.64538543603637,0.32865548743443057,0.08337056535211476
5,1.061063977805051,2.679547656666149,0.6648120040243323,0.3276824368671937,0.13559911772608757
6,0.9951882822947069,2.1761315410787407,0.6532683155753396,0.3331166797063567,0.15897257964719425
7,1.1156432086771184,2.662922978401184,0.6459621556780555,0.36785603721033444,0.11113647710193288
8,1.0548546666448766,2.6279128139669243,0.6544698449698362,0.3468759832057086,0.11072379045865753
9,1.2839643982323734,2.315769688649611,0.6009946858341043,0.40785621106624603,0.15054294636303728
10,1.3380833213979548,2.258576187220487,0.5862422301010652,0.4121032086285678,0.15542496436021544
11,1.1730249388651415,2.427783586762168,0.6128479919650338,0.37286860089410434,0.13426804170012474
12,1.000180799852718,2.701036951758645,0.6697836260903965,0.3411229293454777,0.10733423856171695
13,0.8869086910377849,2.425284597006711,0.6748884591189298,0.31177405742081726,0.12474508448080583
14,0.8493944379416379,2.2477534142407505,0.6883345408873125,0.3050731427290223,0.14205368235707283
15,0.9161585488102653,2.2535609006881714,0.6778851557861675,0.32853467017412186,0.14643011953343044
16,0.779584527015686,2.3150484290989963,0.7112970623103055,0.2916699343106963,0.13327278637073256
17,0.7923243154178966,2.393564522266388,0.7025761116634716,0.2893998663533818,0.12489788200367581
18,0.704551404172724,2.409600788896734,0.7282902300357819,0.2699947607788173,0.12158314917575229
19,0.8075365424156189,2.678779439492659,0.705659338019111,0.2904770469123667,0.09962207485329021
20,0.7779182060198351,2.5268710418180986,0.7149131013588472,0.27946116639809176,0.11874416114931757
21,0.7419544566761364,2.5394316153092817,0.7245621274818074,0.28054637732830917,0.11000951548868959
22,0.7405453730713237,2.6020767472007056,0.7269086241722107,0.2725631804628806,0.1141118493608453
23,0.7199809618971564,2.520928892222318,0.7328534695235166,0.2662655006755482,0.12294984591955488
24,0.855328847061504,2.394622737711126,0.6940374889157035,0.3023869388482787,0.1336229998957027
25,0.7464896846901287,2.541341023011641,0.7247779396447268,0.28041529249061237,0.11219463514333422
26,0.7298673987388611,2.4829638221047143,0.7287704998796637,0.27162122049114923,0.12444108690727841
27,0.6747333271936937,2.5673501274802466,0.7416559349406849,0.2542802738872441,0.11425080590627411
28,0.6399215866218914,2.4220520799810235,0.7511205889961936,0.24417301470583136,0.12333159792152318
29,0.6234644245017659,2.374484983357516,0.7581030292944475,0.24404468082568861,0.12489733489399607
30,0.6044677495956421,2.4195004864172502,0.75835059447722,0.23815174807201733,0.11824459210038185
31,0.6060528226874091,2.496882379055023,0.7615967718037692,0.23707043515010315,0.11223305897279219
32,0.6633008230816234,2.537973154674877,0.7445845631035891,0.2534699568694288,0.11130943708121777
33,0.6816708201711829,2.6036346934058447,0.7420907724987377,0.26264296946200455,0.10411357778039845
34,0.6215952838009055,2.709325064312328,0.7547123052857139,0.23445490104230968,0.10024264658039267
